iter	Logloss
0	0.6767882636
1	0.6611691274
2	0.6464298703
3	0.6326139439
4	0.6196384727
5	0.6074085389
6	0.595765259
7	0.584783388
8	0.5742519139
9	0.5644337257
10	0.5551905913
11	0.546362276
12	0.5381234959
13	0.530392606
14	0.5230693189
15	0.5160010765
16	0.5093870065
17	0.5031730025
18	0.497218842
19	0.4916430685
20	0.4863553439
21	0.4813573532
22	0.4766340657
23	0.4721366141
24	0.4679680596
25	0.4639958993
26	0.4602911351
27	0.4566935473
28	0.4533238823
29	0.4501818387
30	0.4471495912
31	0.444316632
32	0.4416465035
33	0.4391284917
34	0.4367739261
35	0.4344575021
36	0.4322631775
37	0.4301525009
38	0.4282039953
39	0.4262894654
40	0.4244852641
41	0.4227358771
42	0.4211141311
43	0.4196564579
44	0.4182571885
45	0.4169403745
46	0.4156176004
47	0.4143761649
48	0.4131295951
49	0.4119870439
50	0.4109167111
51	0.4099099694
52	0.4089332986
53	0.4080349339
54	0.4071340976
55	0.4063047756
56	0.4055526329
57	0.4048442892
58	0.404146339
59	0.403433194
60	0.4027977212
61	0.4022144601
62	0.4016406587
63	0.4011047747
64	0.4005874628
65	0.4000441631
66	0.3994878818
67	0.3990321044
68	0.398598401
69	0.3981673695
70	0.397685303
71	0.3971989326
72	0.3967943775
73	0.396389947
74	0.3960615436
75	0.3957322609
76	0.3954298951
77	0.3950990126
78	0.3947843723
79	0.3944954896
80	0.3942744442
81	0.3939257406
82	0.3936557265
83	0.3933626296
84	0.3931291966
85	0.3928697438
86	0.392672735
87	0.3924933443
88	0.3922391302
89	0.3919527995
90	0.3917573944
91	0.3915890809
92	0.3913969246
93	0.3912219646
94	0.3911122348
95	0.3909223346
96	0.3907059978
97	0.3904719484
98	0.3902386876
99	0.3901295156
100	0.3900044205
101	0.3897778539
102	0.389638381
103	0.3894508777
104	0.3892685125
105	0.3890963684
106	0.3890024405
107	0.3888665291
108	0.3887085374
109	0.3885872501
110	0.3884466411
111	0.3883572354
112	0.3881820259
113	0.388080669
114	0.3880496912
115	0.3879358244
116	0.3877455013
117	0.3876331446
118	0.3874371552
119	0.3873572682
120	0.3872295431
121	0.3870936047
122	0.3869925264
123	0.3869232228
124	0.3868453424
125	0.3867550648
126	0.386617897
127	0.3864889451
128	0.3863600961
129	0.3862057006
130	0.3860629772
131	0.385935787
132	0.3857464485
133	0.3856657674
134	0.3855393808
135	0.3853603866
136	0.3852810193
137	0.3851757631
138	0.3850881034
139	0.3849600882
140	0.3848703314
141	0.3847586135
142	0.3846307
143	0.384530102
144	0.3844997918
145	0.3843549216
146	0.3843105403
147	0.3842829507
148	0.3841938285
149	0.3840836322
150	0.3839719879
151	0.3839037941
152	0.3838673975
153	0.383677549
154	0.3836607557
155	0.3835783909
156	0.3834345788
157	0.3833851998
158	0.3832353381
159	0.3831983568
160	0.3831482427
161	0.3830231167
162	0.3829582979
163	0.3828321993
164	0.3826891703
165	0.3825914587
166	0.3825146313
167	0.3824207071
168	0.3822901238
169	0.3822173638
170	0.3821268387
